title,date,authors,keyword,Unnamed: 4
Model tests to investigate the effects of geometrical imperfections on the NIST calculable capacitor,1998,A. Jeffery,"capacitance measurement,measurement standards,capacitors,units (measurement),measurement uncertainty,electrodes",
The determination of the Avogadro constant-not simply a metrological problem,1998,P. Becker,"constants,units (measurement),mass measurement,lattice constants,lattice constants,voids (solid),density measurement,density measurement,silicon",
New methods for determining the vacancy and void content of single crystal silicon,1998,F. Spaepen,"silicon,vacancies (crystal),voids (solid),interstitials,impurities,diffusion",
Composition and structure of surfaces of silicon spheres used in determination of the Avogadro constant,1998,M.J. Kenny,"silicon,surface structure,surface composition,surface contamination,ellipsometry,ion microprobe analysis,density measurement,constants,oxidation,adsorption",
The molar volume of silicon: discrepancies and limitations,1998,R.D. Deslattes,"silicon,density measurement,crystal growth from melt,vacancies (crystal),interstitials,voids (solid),constants",
"Progress of the prompt (n,/spl gamma/)-spectrometry for the Avogadro-project",1998,S. Rottger,"constants,isotope detection,isotope relative abundance,atomic mass,gamma-ray spectroscopy,neutron radiative capture,silicon,measurement uncertainty",
Sub-kilohertz optical spectroscopy by time domain atom interferometry,1998,K. Sengstock,"particle interferometry,particle interferometry,laser cooling,laser cooling,radiation pressure,radiation pressure,frequency standards,measurement standards,visible spectroscopy,visible spectra,spectral line breadth,magnesium",
A novel stabilization method for an optical frequency comb generator,1998,U. Sterr,"laser frequency stability,electro-optical modulation,phase modulation,optical resonators,frequency standards,optical harmonic generation",
Progress towards an optical frequency chain at NPL,1998,S.N. Lea,"frequency standards,frequency standards,trapped ions,trapped ions,radiation pressure,radiation pressure,laser cooling,laser cooling,positive ions,positive ions,laser frequency stability,optical harmonic generation,optical parametric oscillators,ytterbium,strontium",
Monolithic cw optical parametric oscillators for optical frequency measurement,1998,T. Ikegami,"optical parametric oscillators,frequency standards,optical harmonic generation,laser frequency stability,laser tuning,phase modulation,optical modulation",
Improved AC quantized Hall measurements,1998,B.M. Wood,"electric resistance measurement,measurement standards,quantum Hall effect,sample holders,measurement uncertainty",
Measurement of the AC quantized Hall resistance,1998,S.W. Chua,"electric resistance measurement,measurement standards,bridge circuits,resistors,quantum Hall effect",
Measurements of the AC longitudinal resistance of a GaAs-AlGaAs quantum Hall device,1998,F. Cabiati,"measurement standards,electric resistance measurement,electric resistance measurement,quantum Hall effect,quantum Hall effect,gallium arsenide,aluminium compounds,III-V semiconductors,semiconductor superlattices",
Dependence of contact resistance on current for good and bad ohmic contacts to quantized Hall resistors,1998,K.C. Lee,"quantum Hall effect,electric resistance measurement,measurement standards,ohmic contacts,contact resistance,two-dimensional electron gas,resistors",
A new 60 GHz open resonator method for precision permittivity and loss tangent measurement,1998,M.N. Afsar,"millimetre wave measurement,dielectric loss measurement,permittivity measurement,Fabry-Perot resonators,cavity resonators",
Measurement intercomparisons of dielectric and magnetic material characterization,1998,C.M. Weil,"permittivity measurement,magnetic permeability measurement,dielectric materials,magnetic materials,ferrites,microwave reflectometry,strip line resonators,UHF measurement",
Quartz sensor for dielectric measurement in glass-fiber resins,1998,V. Matko,"permittivity measurement,permittivity measurement,capacitance measurement,capacitance measurement,moisture measurement,moisture measurement,glass fibre reinforced plastics,sorption,crystal oscillators,capacitive sensors",
Microwave resonant cavity measurements for determining proportions of coal and limestone in powdered mixtures,1998,S.O. Nelson,"permittivity measurement,microwave measurement,mining,pulverised fuels,coal,powders,rocks,cavity resonators",
Characterization parameters and modelling of high frequency nonlinear devices require new calibration techniques,1998,M. Vanden Bossche,"calibration,network analysers,microwave reflectometry,oscilloscopes,telecommunication equipment testing,wave analysers,waveform analysis,S-parameters,nonlinear network analysis,signal sampling",
Electro-optic probing of microwave circuits,1998,R.A. Dudley,"MMIC,integrated circuit testing,integrated circuit measurement,S-parameters,network analysers,calibration,measurement uncertainty,signal sampling,microwave measurement",
Calibration comparison for vector network analyzers with switching errors,1998,R.B. Marks,"network analysers,calibration,measurement errors,S-parameters",
Source-pull and multiharmonic load-pull measurements based on six-port techniques,1998,G. Berghoff,"microwave reflectometry,microwave reflectometry,reflectometers,network analysers,power MESFET,microwave power transistors,III-V semiconductors,gallium arsenide,semiconductor device measurement,semiconductor device measurement",
Precision computer-controlled decade capacitor,1998,H. Eckardt,"ceramic capacitors,capacitor switching,capacitance measurement,calibration,measurement standards,measurement uncertainty,computerised instrumentation,relays,bridge circuits,computerised control,electric variables control",
Capacitance intercomparison between NML (South Africa) and NPL (India) and NML (South Africa) and NMi (Netherlands),1998,S.S. Moodley,"measurement standards,calibration,capacitance measurement,capacitors",
Intercomparison of a 10 mH inductance standard between UME-PTB,1998,Y. Gulmez,"transfer standards,inductance measurement,calibration,bridge circuits,inductors",
Intercomparison of a 10 pF standard capacitor between NPL and PTB,1998,A.K. Saxena,"transfer standards,measurement uncertainty,bridge circuits,capacitors,capacitance measurement",
Two-frequency synthesizer with shaped quantization noise [for impedance bridges],1998,G.W. Small,"direct digital synthesis,quantisation (signal),waveform generators,electric impedance measurement,bridge circuits,digital-analogue conversion",
A traceability of loss angle standards at KRISS,1998,Rae Duk Lee,"dielectric loss measurement,measurement standards,calibration,capacitors,bridge circuits",
A numerical simulation on thermoelectric effects in single-junction thermal converters,1998,H. Sasaki,"transfer standards,voltage measurement,Thomson effect,Peltier effect,temperature distribution,curve fitting,convertors",
A method for precise RMS measurements of periodic signals at low frequencies,1998,A. Muciek,"voltage measurement,bandlimited signals,signal sampling,signal reconstruction,least squares approximations,amplitude estimation,analogue-digital conversion,harmonic analysis",
Reestablishment of the primary AC voltage standard at KRISS,1998,Sung-Won Kwon,"transfer standards,calibration,voltage measurement,convertors,measurement uncertainty",
Automated comparator for AC-DC difference accurate measurements used at the BNM-LCIE,1998,A. Poletaeff,"voltage measurement,transfer standards,calibration,convertors,measurement uncertainty,comparators (circuits),voltage dividers",
AC-DC thermal converter with IR-transmissive fiber coupling,1998,F.L. Katzmann,"transfer standards,voltage measurement,convertors,temperature sensors,thermopiles,optical fibre couplers,fibre optic sensors,radiometry,distributed sensors",
